lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
129.74 -6.90 318 46 -174 223 85 -44 4.040 25 082176A        
126.56 5.01 161 40 130 293 61 62 2.450 25 011977B        
130.94 -5.00 193 75 9 101 82 165 2.170 25 031577A        
95.58 4.26 78 19 -140 310 78 -76 4.150 25 052577B        
127.99 -7.85 328 39 125 106 59 65 2.220 25 062977A        
95.67 3.31 87 50 -176 354 87 -40 1.430 25 120377A        
123.81 0.09 311 61 4 219 86 151 4.530 25 020778A        
128.95 -3.90 328 44 29 216 71 130 1.220 25 021978A        
125.15 -8.68 13 33 -78 179 58 -98 1.530 25 032778A        
127.28 5.01 346 29 78 180 62 97 3.600 25 041878B        
127.29 5.13 29 31 96 201 59 86 4.490 25 020779B        
126.24 6.13 229 47 132 356 57 54 2.710 25 021179E        
122.62 -0.77 36 46 113 185 49 69 1.370 25 042279B        
108.52 -7.98 20 41 72 223 51 105 7.180 25 110279B        
125.27 5.57 291 50 139 50 60 48 5.830 25 111979A        
127.17 6.13 138 35 49 5 64 115 3.740 25 022980A        
108.64 -8.24 11 40 55 233 58 116 2.060 25 041680B        
128.34 -7.33 330 44 74 171 48 104 1.260 25 061680A        
125.95 6.63 79 32 16 335 82 121 7.480 25 070880A        
126.58 5.52 317 39 111 111 54 74 3.750 25 051381A        
132.42 -6.65 72 66 11 338 80 155 1.600 25 052281A        
126.33 6.44 290 29 -167 188 84 -62 1.350 25 090381A        
128.78 -7.22 292 51 148 44 66 44 4.850 25 101781A        
94.65 5.72 207 51 51 78 53 127 3.410 26 040483A        
128.35 2.61 198 27 153 312 78 66 1.720 25 051183A        
120.72 1.46 41 38 27 290 74 125 5.800 25 102783A        
119.05 -9.00 205 18 154 320 82 74 4.740 25 103183A        
130.72 -7.31 73 60 11 338 81 150 1.700 25 112083B        
128.32 -7.44 74 39 59 291 57 113 1.590 27 112483A        
127.25 -7.72 290 38 131 62 62 63 4.230 25 121283A        
130.14 -6.49 216 26 103 22 65 84 1.070 25 021784B        
125.72 5.66 39 18 173 135 88 72 7.680 25 102984B        
125.56 5.02 172 25 -74 335 66 -97 2.150 27 112084A        
123.79 -0.21 192 25 64 40 68 101 2.030 25 011185D        
127.38 4.79 346 31 62 198 63 106 2.510 25 060485B        
106.73 -6.84 254 2 32 131 89 91 5.350 25 100985A        
125.47 4.60 271 12 13 169 87 102 4.500 25 050886B        
128.11 1.95 320 29 118 108 65 75 2.570 25 081086A        
131.43 -5.30 327 56 -160 225 73 -36 4.720 25 101786A        
126.59 1.68 337 48 25 230 72 135 2.460 25 020887A        
127.65 4.65 330 37 69 175 56 105 3.300 25 051187C        
131.20 -5.53 305 50 142 62 62 47 4.780 26 061787A        
131.37 -5.18 300 37 143 62 68 59 3.930 25 100387B        
127.67 4.78 35 30 141 160 72 66 1.680 26 102987A        
127.04 5.90 45 38 55 267 60 114 1.530 25 110787A        
131.85 -6.62 338 77 172 70 82 13 2.560 25 020688E        
128.27 -7.81 304 22 116 96 70 80 1.980 26 053088A        
107.80 -7.58 128 41 100 295 49 82 1.170 25 081788A        
127.94 2.39 54 42 79 248 49 100 5.070 25 072289A        
126.85 1.29 339 28 34 218 75 113 1.880 25 091489B        
123.69 0.00 196 31 69 40 61 102 1.200 26 120989A        
130.82 -4.58 351 69 16 255 75 158 1.450 25 121289A        
95.93 3.55 313 27 89 133 63 90 2.530 25 012290D        
129.78 -6.22 306 30 -178 214 89 -60 2.050 25 101591D        
128.62 -7.07 324 43 90 144 47 90 3.050 25 110791C        
126.89 5.85 45 47 147 159 66 48 1.880 25 112191B        
127.50 1.44 299 29 13 198 84 118 1.300 25 011392D        
130.30 -6.62 128 41 115 276 54 70 1.660 25 050492A        
111.11 -8.45 1 17 -11 101 87 -107 1.570 25 060992B        
126.68 4.21 296 47 -48 64 57 -125 1.730 25 080992B        
130.09 -6.30 56 51 28 307 69 137 1.970 25 101892F        
122.75 -9.38 67 51 -156 321 71 -42 1.880 25 102392P        
130.52 -6.60 89 53 37 335 61 137 8.490 26 122092I        
97.56 3.04 115 19 -98 303 72 -87 1.830 25 012093B        
127.25 1.56 320 18 9 222 87 108 1.690 25 053093F        
122.39 -9.42 141 48 -11 239 81 -138 2.280 25 090493J        
121.70 0.62 168 13 -175 73 89 -78 3.930 25 092993E        
131.47 -6.79 342 72 167 76 77 18 2.670 25 122093A        
127.90 -7.63 312 42 131 83 60 59 6.140 25 071394G        
131.69 -6.30 317 69 171 50 81 21 2.600 25 080494D        
126.89 6.33 120 42 42 357 63 124 5.920 25 042095B        
127.47 2.78 3 8 85 188 82 91 3.650 25 072695C        
129.65 -6.93 277 47 144 33 64 49 4.700 26 122595E        
126.29 2.03 77 39 88 260 51 92 4.830 25 022896C        
123.72 -8.88 143 6 -7 240 89 -96 2.010 25 011797A        
131.10 -6.54 88 40 57 309 57 115 1.130 25 073197B        
112.40 -8.36 358 13 -176 263 89 -77 7.650 25 092898D        
121.73 -9.19 147 16 -26 262 83 -104 3.850 25 110898D        
104.46 -5.86 65 52 165 164 78 39 5.130 25 081499A        
105.54 -7.06 197 32 -1 287 89 -122 5.530 25 122199C        
128.55 -7.37 171 44 96 342 46 84 4.110 25 030300C        
125.75 4.10 324 77 6 233 84 166 1.940 25 040300D        
127.61 4.75 338 34 66 186 59 105 3.590 25 061400I        
110.24 -8.07 49 32 -158 300 79 -60 3.170 25 052501E        
132.17 -6.34 61 33 -10 160 84 -123 1.300 25 052801B        
125.87 6.35 193 39 119 337 57 68 3.040 25 010102B        
127.23 1.74 336 29 29 221 76 116 4.149 25 031003A        
127.38 0.44 123 67 -6 215 84 -157 4.212 25 050503C        
127.91 3.68 32 50 128 162 53 54 1.537 25 050503D        
100.31 -1.68 224 54 -45 346 55 -134 1.198 25 022204A        
123.01 -9.69 140 25 -24 252 80 -113 1.141 26 042304A        
130.59 -6.63 98 41 71 302 52 106 1.611 25 062504A        
124.95 0.79 45 71 3 315 88 161 2.429 25 063004F        
126.66 4.80 254 23 150 12 79 70 7.025 25 200502151442A  
129.99 -6.54 308 35 176 41 88 55 5.734 26 200503021042A  
126.57 4.07 32 52 -152 283 68 -42 1.834 25 200603312114A  
101.17 -3.52 324 28 109 122 64 80 1.176 25 200709131609A  
127.59 -7.75 314 45 122 93 53 62 1.266 25 200712150803A  
131.14 -6.59 66 61 21 326 72 150 5.000 25 200712150939A  
127.12 6.07 192 29 97 4 61 86 1.461 25 200803201410A  
127.87 -7.63 81 45 70 288 49 109 1.108 25 200806061342A  
130.47 -5.93 232 41 -85 46 49 -95 2.988 25 200808042045A  
127.34 1.91 338 29 20 231 81 117 0.942 26 200809110000A  
125.66 5.74 228 17 139 358 79 77 3.463 25 200812250320A  
128.55 -7.51 282 37 87 105 53 92 1.710 25 200901222016A  
127.20 5.21 175 50 137 296 59 49 2.924 25 200904040531A  
107.33 -8.12 54 46 117 198 50 65 3.628 26 200909020755A  
99.67 -0.79 74 52 139 193 58 46 2.735 27 200909301016A  
130.57 -6.10 315 46 166 55 80 45 2.950 26 200910241440A  
131.38 -5.37 64 58 32 315 64 143 1.690 25 200912260857A  
128.76 -7.39 353 39 129 127 61 63 2.657 25 201002152151A  
128.09 -1.60 133 71 8 40 82 161 5.868 25 201003140057A  
128.09 3.08 130 60 19 31 74 149 1.822 25 201007210916A  
128.10 2.83 135 52 39 19 60 134 2.181 25 201010080543A  
128.80 -7.46 321 54 144 75 61 42 1.168 25 201012151129A  
126.35 2.74 20 80 173 111 83 10 4.988 25 201106131431A  
97.86 2.88 101 11 -129 320 82 -83 1.370 26 201109051755A  
114.65 -9.69 199 74 173 291 83 16 2.202 25 201110130316A  
123.14 0.01 302 34 117 91 60 73 1.540 25 201112130752A  
97.77 2.98 75 45 168 174 81 46 1.953 25 201206230434A  
126.81 2.16 210 63 150 315 63 31 0.903 26 201208261505A  
129.83 -6.65 309 48 166 48 80 43 5.587 26 201212101653A  
125.95 5.77 197 28 124 340 67 73 2.431 25 201302160437A  
129.83 -7.24 297 31 125 78 65 71 1.778 25 201308120053A  
128.24 -7.61 322 34 136 90 67 64 6.779 25 201309011152A  
109.27 -8.36 282 19 -97 110 71 -88 2.099 25 201401250514A  
130.57 -6.12 140 10 46 4 82 97 1.429 25 201412062205A  
102.14 -2.61 109 56 163 208 76 35 1.458 25 201505152026A  
130.11 -7.22 84 55 39 329 59 138 1.442 25 201511210906A  
126.49 6.55 326 67 22 227 70 156 3.590 25 201609232253A  
127.93 -7.64 321 47 144 77 65 49 1.349 26 201612210017A  
118.74 -9.16 120 48 16 19 78 137 3.119 25 201612292230A
